Job,Client,Status,Project Manager,APM,Superintendent,Contract Value,Revised Contract,Start Date,Projected End Date,Actual End Date,Meeting Minutes,Revised Contract Value,Projected End Date ,Actual End Date 
Burnsville Library,Misc,In Progress,Nick Silvers,Corey Darby,Graham Dickson,"$900,000.00",,01/05/26,10/01/26,,Jessica Bitner - Update: Demo starts the 28th.,,,
"2025-262 Sheffield, OH",Driven Brands,Close out,Zane Curdes,,Sam Clark,"$1,000,351.50",,09/15/25,12/15/25,,Jessica Bitner - Updates: Zane to talkto Monte.,,,
"2025-265 Daytona Beach, FL",Driven Brands,In Progress,Zane Curdes,Bobby O'Shea,Wolf Ishcomer,"$959,000.00",,11/10/25,04/12/26,,Jessica Bitner - Updates: Front of the building is complete. Tower and left side of the building should be done today. EIFS should be done today. Touching base on MEP today. Storm structure had to be relocated. Flooring - will be 3 day min. Flooring contract needs to be sent today. @bobby.oshea@jbsconstructiongroup.com,,,
"2025-266 Chesterfield, MI",Driven Brands,In Progress,Zane Curdes,Bobby O'Shea,Graham Dickson,"$950,000.00",,11/20/25,04/06/26,,Jessica Bitner - Sam to build a tent over the building.,,,
"2025-261 Suffolk, VA",Driven Brands,In Progress,Zane Curdes,Trey Ragan,Cody Goatley,"$1,393,000.00","$1,440,364.67",11/12/25,03/18/26,,Jessica Bitner - Updates: Concrete change order - grating and demo. We need a schedule from the concrete co. Utilies should be done this week. Trey - 3 week look-ahead schedule - send today. @trey.ragan@jbsconstructiongroup.com,,,
"2026-711 Santa Teresa, NM",Auto Zone,Permitting,Chris James,,NEED,"$1,527,008.00",,02/02/26,06/19/26,,"Lindsay Caruso - Start date moved to 2/28 due to ongoing land work. Project will not mobilize until land is complete.
Procurement / Buyout:
Buyout activities ongoing while awaiting land completion. Subcontractors have been contacted and are in communication.
Electrical:
Electrician experienced with local AutoZone projects and identical scope. Pric…",,,
"2025-367 Dale Mabry, FL (0224)",Mister Car Wash,Not Started,Nick Silvers,Jake Thomason,,"$72,000.00",,12/10/25,12/28/25,,Jessica Bitner - Updates: No subcontractors yet.,,,
"2025-370 Gandy, FL (0223)",Mister Car Wash,Not Started,Nick Silvers,Jake Thomason,,"$81,314.00",,,,,Jessica Bitner - Can remove from sheet,,,
"2025-267 Loveland, OH",Driven Brands,In Progress,Zane Curdes,Bobby O'Shea,Sam Clark,"$969,000.00",,12/01/25,04/12/26,,Jessica Bitner - Updates: No dates for pouring concrete. Undercut is finished. Storm system scheduled for this week. We need a Super onsite. Zane has Change Orders.,,,
"2025-259 Sun City, AZ",Driven Brands,Permitting,Nick Silvers,Justin Morton,Enrique McFarlane,"$1,221,250.00",,07/21/25,11/14/25,,Jessica Bitner - Updates: Traffic control plan reviewer - Nick followed up with concerns. We need a change order for getting the site back to working conditions.,,,
2025-373 Kennedy,Mister Car Wash,Close out,Nick Silvers,Justin Morton,,"$335,390.00",,11/10/25,12/15/25,,Jessica Bitner - Updates: Permitting change order was holding up close out. @justin.morton@jbsconstructiongroup.com,,,
"2025-260 Kenosha, WI",Driven Brands,In Progress,Alex Silvers,,,"$72,000.00",,,,,,,,
2025-255 Jacksonville-Southside,Driven Brands,Close out,Michael Fender,Jake Thomason,,"$960,000.00",,06/16/25,10/02/25,,Jessica Bitner - Updates: Leak will be fixed. Irrigation is good. CO by tomorrow.,,,
2025-254 Corpus Christi,Driven Brands,Close out,Nick Silvers,Justin Morton,,"$768,500.00",,05/19/25,07/11/25,,Jessica Bitner - Updates: Installation tomorrow for garage doors. Should be compete this week.,,,
2024-314 Speedway Blvd.,Mister Car Wash,Close out,Alex Silvers,,Enrique McFarlane,"$4,271,930.00",,,,,,,,
2024-900 Ray Cort Park,Misc,Close out,Nick Silvers,,,"$1,323,600.00",,09/17/24,05/07/25,,Jessica Bitner - Updates: Everything should be complete once openers are installed.,,,
"2025-250 Scottsdale, AZ",Driven Brands,Close out,Zane Curdes,,Enrique McFarlane,"$1,381,500.00",,02/18/25,07/21/25,,,,,
"2025-253 Tempe, AZ",Driven Brands,Close out,Zane Curdes,,Enrique McFarlane,"$1,162,000.00",,04/28/25,08/29/26,,Jessica Bitner - Everyone is paid out for this job.,,,
"2025-252 Semmes, AL",Driven Brands,Close out,Zane Curdes,,,"$1,052,301.00",,03/31/25,08/01/25,,,,,
"2025-359 Northside, TN",Mister Car Wash,In Progress,Nick Silvers,Justin Morton,Graham Dickson,"$1,291,000.00",,01/06/26,04/06/26,,Jessica Bitner - Updates: Snow storm hit this weekend. Jonathan's guys will probably be back on Wed. Touch base with concrete guys. Interior is going well. Scheduled inspections this week. Plumbing should start later this week.,,,
"2026-501 Phoenix, AZ",Grease Monkey,In Progress,Nick Silvers,Corey Darby,Enrique McFarlane,"$1,020,000.00",,01/26/26,06/12/26,,Jessica Bitner - Updates: Still waiting on zoning. Sending a test submittal today. Masonry was on the civil bid. We will need to eat the cost.,,,
"2026-500 Meridian, Idaho",Grease Monkey,In Progress,Chris James,,Wally Logan,"$1,058,366.00",,01/26/26,06/01/26,,"Lindsay Caruso - All subcontractors contacted and pricing entered into the system. Cost complete has been finalized.
Next Steps: Awaiting land close and start date confirmation from Rick. Update to be provided once schedule is confirmed.",,,
"2026-200 Lancaster, OH",Driven Brands,Permitting,Zane Curdes,,,"$1,144,000.00",,01/26/26,06/07/26,,Jessica Bitner - Pre-construction call was on 1/15. -Zane,,,
"2026-300 22nd St Tucson, AZ",Mister Car Wash,,Nick Silvers,,,,,,,,Jessica Bitner - Updates: Justin getting quotes. Updating to a 10 day closure. March 2nd start date.,,,
"2026-201 Manitowoc, WI",Driven Brands,Not Started,Zane Curdes,Bobby O'Shea,TBD,"$1,078,000.00",,03/02/26,07/03/26,,,,,
"2026-202 Jacksonville, FL (Max Leggett)",Driven Brands,Permitting,Zane Curdes,Trey Ragan,TBD,"$992,000.00",,02/16/26,,,,,,
"2026-100 Ft. Lauderdale, FL (T5 Demo)",Driven Brands,In Progress,Chris James,,,,,,,,"Lindsay Caruso - Sod removed from scope due to high cost (approx. $17,000). Project will proceed with erosion control only.
Site / Erosion Control:
Plan is to use seed and straw instead of sod.
Next Steps: Chris obtaining erosion control pricing from alternate vendor. Vendor expected onsite this afternoon or tomorrow morning. Photos to follow afte…",,,
2025-364 Okanogan Pl (0581),Mister Car Wash,Close out,Nick Silvers,Justin Morton,,"$261,382.00",,10/20/25,,,Jessica Bitner - Move to completed jobs!,,11/01/25,
"2026-502 Prescott Valley, AZ",Take 5,Permitting,Michael Fender,Jake Thomason,Enrique McFarlane,"$982,000.00",,02/09/26,07/09/26,,,,,
